b_m,phi_deg,J_m,in_region_eta15
100.000,-80.000,,0
100.000,-78.222,,0
100.000,-76.444,,0
100.000,-74.667,,0
100.000,-72.889,,0
100.000,-71.111,,0
100.000,-69.333,,0
100.000,-67.556,,0
100.000,-65.778,,0
100.000,-64.000,,0
100.000,-62.222,,0
100.000,-60.444,,0
100.000,-58.667,,0
100.000,-56.889,,0
100.000,-55.111,,0
100.000,-53.333,,0
100.000,-51.556,,0
100.000,-49.778,,0
100.000,-48.000,,0
100.000,-46.222,,0
100.000,-44.444,,0
100.000,-42.667,,0
100.000,-40.889,,0
100.000,-39.111,,0
100.000,-37.333,,0
100.000,-35.556,,0
100.000,-33.778,,0
100.000,-32.000,,0
100.000,-30.222,,0
100.000,-28.444,,0
100.000,-26.667,,0
100.000,-24.889,,0
100.000,-23.111,,0
100.000,-21.333,,0
100.000,-19.556,,0
100.000,-17.778,,0
100.000,-16.000,,0
100.000,-14.222,,0
100.000,-12.444,,0
100.000,-10.667,,0
100.000,-8.889,,0
100.000,-7.111,,0
100.000,-5.333,,0
100.000,-3.556,,0
100.000,-1.778,,0
100.000,0.000,,0
100.000,1.778,,0
100.000,3.556,,0
100.000,5.333,,0
100.000,7.111,,0
100.000,8.889,,0
100.000,10.667,,0
100.000,12.444,,0
100.000,14.222,,0
100.000,16.000,,0
100.000,17.778,,0
100.000,19.556,,0
100.000,21.333,,0
100.000,23.111,,0
100.000,24.889,,0
100.000,26.667,,0
100.000,28.444,,0
100.000,30.222,,0
100.000,32.000,,0
100.000,33.778,,0
100.000,35.556,,0
100.000,37.333,,0
100.000,39.111,,0
100.000,40.889,,0
100.000,42.667,,0
100.000,44.444,,0
100.000,46.222,,0
100.000,48.000,,0
100.000,49.778,,0
100.000,51.556,,0
100.000,53.333,,0
100.000,55.111,,0
100.000,56.889,,0
100.000,58.667,,0
100.000,60.444,,0
100.000,62.222,,0
100.000,64.000,,0
100.000,65.778,,0
100.000,67.556,,0
100.000,69.333,,0
100.000,71.111,,0
100.000,72.889,,0
100.000,74.667,,0
100.000,76.444,,0
100.000,78.222,,0
100.000,80.000,,0
136.364,-80.000,,0
136.364,-78.222,,0
136.364,-76.444,,0
136.364,-74.667,,0
136.364,-72.889,,0
136.364,-71.111,,0
136.364,-69.333,,0
136.364,-67.556,,0
136.364,-65.778,,0
136.364,-64.000,,0
136.364,-62.222,,0
136.364,-60.444,,0
136.364,-58.667,,0
136.364,-56.889,,0
136.364,-55.111,,0
136.364,-53.333,,0
136.364,-51.556,,0
136.364,-49.778,,0
136.364,-48.000,,0
136.364,-46.222,,0
136.364,-44.444,,0
136.364,-42.667,,0
136.364,-40.889,,0
136.364,-39.111,,0
136.364,-37.333,,0
136.364,-35.556,,0
136.364,-33.778,,0
136.364,-32.000,,0
136.364,-30.222,,0
136.364,-28.444,,0
136.364,-26.667,,0
136.364,-24.889,,0
136.364,-23.111,,0
136.364,-21.333,,0
136.364,-19.556,,0
136.364,-17.778,,0
136.364,-16.000,,0
136.364,-14.222,,0
136.364,-12.444,,0
136.364,-10.667,,0
136.364,-8.889,,0
136.364,-7.111,,0
136.364,-5.333,,0
136.364,-3.556,,0
136.364,-1.778,,0
136.364,0.000,,0
136.364,1.778,,0
136.364,3.556,,0
136.364,5.333,,0
136.364,7.111,,0
136.364,8.889,,0
136.364,10.667,,0
136.364,12.444,,0
136.364,14.222,,0
136.364,16.000,,0
136.364,17.778,,0
136.364,19.556,,0
136.364,21.333,,0
136.364,23.111,,0
136.364,24.889,,0
136.364,26.667,,0
136.364,28.444,,0
136.364,30.222,,0
136.364,32.000,,0
136.364,33.778,,0
136.364,35.556,,0
136.364,37.333,,0
136.364,39.111,,0
136.364,40.889,,0
136.364,42.667,,0
136.364,44.444,,0
136.364,46.222,,0
136.364,48.000,,0
136.364,49.778,,0
136.364,51.556,,0
136.364,53.333,,0
136.364,55.111,,0
136.364,56.889,,0
136.364,58.667,,0
136.364,60.444,,0
136.364,62.222,,0
136.364,64.000,,0
136.364,65.778,,0
136.364,67.556,,0
136.364,69.333,,0
136.364,71.111,,0
136.364,72.889,,0
136.364,74.667,,0
136.364,76.444,,0
136.364,78.222,,0
136.364,80.000,,0
172.727,-80.000,,0
172.727,-78.222,,0
172.727,-76.444,,0
172.727,-74.667,,0
172.727,-72.889,,0
172.727,-71.111,,0
172.727,-69.333,,0
172.727,-67.556,,0
172.727,-65.778,,0
172.727,-64.000,,0
172.727,-62.222,,0
172.727,-60.444,,0
172.727,-58.667,,0
172.727,-56.889,,0
172.727,-55.111,,0
172.727,-53.333,,0
172.727,-51.556,,0
172.727,-49.778,,0
172.727,-48.000,,0
172.727,-46.222,,0
172.727,-44.444,,0
172.727,-42.667,,0
172.727,-40.889,,0
172.727,-39.111,,0
172.727,-37.333,,0
172.727,-35.556,,0
172.727,-33.778,,0
172.727,-32.000,,0
172.727,-30.222,,0
172.727,-28.444,,0
172.727,-26.667,,0
172.727,-24.889,,0
172.727,-23.111,,0
172.727,-21.333,,0
172.727,-19.556,,0
172.727,-17.778,,0
172.727,-16.000,,0
172.727,-14.222,,0
172.727,-12.444,,0
