b_m,phi_deg,J_m,status
200,0,,infeasible
200,10,,infeasible
200,20,,infeasible
200,30,,infeasible
200,37,,infeasible
200,45,,infeasible
200,55,,infeasible
200,65,,infeasible
200,75,,infeasible
200,85,,infeasible
300,0,,infeasible
300,10,,infeasible
300,20,,infeasible
300,30,,infeasible
300,37,,infeasible
300,45,,infeasible
300,55,,infeasible
300,65,,infeasible
300,75,,infeasible
300,85,,infeasible
400,0,,infeasible
400,10,,infeasible
400,20,,infeasible
400,30,,infeasible
400,37,,infeasible
400,45,,infeasible
400,55,,infeasible
400,65,,infeasible
400,75,,infeasible
400,85,,infeasible
500,0,,infeasible
500,10,,infeasible
500,20,,infeasible
500,30,,infeasible
500,37,,infeasible
500,45,,infeasible
500,55,,infeasible
500,65,,infeasible
500,75,,infeasible
500,85,,infeasible
600,0,inf,ok
600,10,2531.207,ok
600,20,627.062,ok
600,30,,infeasible
600,37,,infeasible
600,45,,infeasible
600,55,,infeasible
600,65,,infeasible
600,75,,infeasible
600,85,,infeasible
700,0,inf,ok
700,10,1247.815,ok
700,20,423.258,ok
700,30,290.799,ok
700,37,,infeasible
700,45,,infeasible
700,55,,infeasible
700,65,,infeasible
700,75,,infeasible
700,85,,infeasible
800,0,inf,ok
800,10,740.753,ok
800,20,300.088,ok
800,30,220.197,ok
800,37,200.672,ok
800,45,,infeasible
800,55,,infeasible
800,65,,infeasible
800,75,,infeasible
800,85,,infeasible
900,0,inf,ok
900,10,474.672,ok
900,20,219.516,ok
900,30,172.075,ok
900,37,162.303,ok
900,45,,infeasible
900,55,,infeasible
900,65,,infeasible
900,75,,infeasible
900,85,,infeasible
1000,0,inf,ok
1000,10,314.724,ok
1000,20,164.360,ok
1000,30,138.208,ok
1000,37,134.975,ok
1000,45,,infeasible
1000,55,,infeasible
1000,65,,infeasible
1000,75,,infeasible
1000,85,,infeasible
1100,0,,infeasible
1100,10,,infeasible
1100,20,,infeasible
1100,30,,infeasible
1100,37,,infeasible
1100,45,,infeasible
1100,55,,infeasible
1100,65,,infeasible
1100,75,,infeasible
1100,85,,infeasible
1200,0,,infeasible
1200,10,,infeasible
1200,20,,infeasible
1200,30,,infeasible
1200,37,,infeasible
1200,45,,infeasible
1200,55,,infeasible
1200,65,,infeasible
1200,75,,infeasible
1200,85,,infeasible
1400,0,,infeasible
1400,10,,infeasible
1400,20,,infeasible
1400,30,,infeasible
1400,37,,infeasible
1400,45,,infeasible
1400,55,,infeasible
1400,65,,infeasible
1400,75,,infeasible
1400,85,,infeasible
1600,0,,infeasible
1600,10,,infeasible
1600,20,,infeasible
1600,30,,infeasible
1600,37,,infeasible
1600,45,,infeasible
1600,55,,infeasible
1600,65,,infeasible
1600,75,,infeasible
1600,85,,infeasible
