case,n_sources,n_cleared,clear_ratio,mean_time_s,virtual_time_s,travel_m,n_measure,n_clear,n_switch
0,13,13,1.000,298.1,3875.5,13778,166,41,141
1,12,12,1.000,331.1,3973.6,13913,177,43,153
2,12,12,1.000,294.2,3530.8,12119,168,32,147
3,16,16,1.000,286.1,4577.2,16886,178,43,149
4,10,10,1.000,421.3,4212.6,15383,177,24,159
5,15,15,1.000,289.8,4346.9,15569,187,36,160
6,16,16,1.000,241.9,3871.0,13690,168,39,144
7,11,11,1.000,362.4,3985.9,15089,145,33,122
8,13,13,1.000,387.6,5039.0,18380,198,60,167
9,12,12,1.000,350.8,4209.7,14403,204,34,183
10,15,15,1.000,258.9,3883.3,14287,152,37,125
11,10,10,1.000,412.8,4127.9,14184,196,40,171
12,11,11,1.000,391.7,4308.2,14876,206,31,188
13,15,15,1.000,296.5,4447.2,16326,172,50,142
14,15,15,1.000,289.3,4339.6,16508,153,40,123
15,12,12,1.000,329.5,3954.5,13702,187,28,171
16,14,14,1.000,292.6,4097.1,15435,150,36,124
17,14,14,1.000,281.7,3943.8,14379,158,40,130
18,16,16,1.000,305.1,4882.2,18936,162,41,130
19,12,12,1.000,279.3,3352.2,12216,135,33,111
20,13,13,1.000,362.1,4707.2,16801,208,34,179
21,11,11,1.000,391.0,4300.8,15394,186,35,165
22,11,11,1.000,359.5,3954.3,13041,203,41,186
23,10,10,1.000,401.2,4011.8,13514,206,23,190
24,15,15,1.000,257.9,3868.7,14079,151,48,124
25,12,12,1.000,337.6,4050.8,13859,194,38,171
26,15,15,1.000,306.7,4601.2,17651,157,43,127
27,15,14,0.933,292.9,4100.0,15635,145,35,115
28,11,11,1.000,400.1,4400.9,16565,167,29,144
29,10,10,1.000,434.8,4347.6,15658,191,24,169
