case,n_sources,n_cleared,clear_ratio,mean_time_s,virtual_time_s,travel_m,n_measure,n_clear,n_switch
0,11,11,1.000,827.0,9097.5,25697,644,30,626
1,14,14,1.000,632.0,8848.6,27558,545,22,518
2,13,13,1.000,798.7,10382.8,34559,515,138,456
3,10,10,1.000,766.1,7660.5,22928,504,17,484
4,16,15,0.938,547.5,8211.8,27074,452,29,420
5,15,14,0.933,627.1,8779.1,27471,503,94,460
6,16,16,1.000,536.7,8586.6,29618,421,46,388
7,12,12,1.000,610.2,7321.9,21184,504,19,484
8,10,10,1.000,774.1,7740.7,23133,513,14,487
9,11,11,1.000,754.2,8296.3,26551,487,23,460
10,15,15,1.000,570.7,8560.9,27670,480,53,438
11,15,15,1.000,603.5,9052.0,31000,460,32,426
12,15,15,1.000,614.0,9210.5,30208,515,28,480
13,10,10,1.000,780.8,7808.3,21807,568,13,548
14,11,11,1.000,717.2,7888.9,24069,502,21,480
15,15,15,1.000,497.0,7454.4,26807,338,21,310
16,15,15,1.000,513.8,7707.4,24012,468,33,436
17,16,16,1.000,486.1,7777.0,26450,396,39,358
18,13,13,1.000,646.5,8404.7,25724,531,27,498
19,10,10,1.000,804.8,8048.0,25020,497,22,473
20,10,10,1.000,844.4,8443.6,24133,595,15,577
21,13,13,1.000,722.0,9386.5,30878,520,32,489
22,12,12,1.000,658.6,7903.5,25792,440,39,404
23,10,10,1.000,786.5,7865.4,22897,541,15,516
24,11,11,1.000,722.0,7942.1,23151,540,24,518
25,11,11,1.000,831.3,9144.4,28682,547,44,519
26,11,11,1.000,798.0,8778.1,24776,630,15,606
27,11,11,1.000,795.0,8745.3,25717,587,28,561
28,12,12,1.000,751.5,9018.6,27008,589,28,564
29,10,10,1.000,801.9,8019.0,24885,498,19,475
