case,n_sources,n_cleared,clear_ratio,mean_time_s,virtual_time_s,travel_m,n_measure,n_clear,n_switch
0,11,11,1.000,644.3,7087.5,20703,464,57,434
1,16,16,1.000,490.4,7845.7,26019,423,35,390
2,10,10,1.000,801.4,8013.6,24768,501,19,478
3,11,11,1.000,607.6,6684.0,21400,392,16,374
4,12,12,1.000,663.4,7961.0,24060,515,20,490
5,15,15,1.000,518.7,7780.1,26861,385,35,348
6,15,15,1.000,437.5,6562.2,22111,344,24,318
7,10,10,1.000,696.5,6965.3,19202,513,16,492
8,10,10,1.000,802.6,8026.2,23426,550,13,532
9,15,15,1.000,475.7,7135.1,24951,339,38,306
10,13,13,1.000,607.7,7899.7,24789,479,23,452
11,12,12,1.000,619.5,7434.3,23686,432,36,405
12,11,11,1.000,649.9,7149.1,21450,469,15,447
13,14,14,1.000,489.9,6858.7,22353,389,17,364
14,16,16,1.000,548.9,8783.1,28201,505,41,463
15,12,12,1.000,553.7,6645.0,19430,447,24,428
16,11,11,1.000,684.3,7527.8,21669,525,14,505
17,15,15,1.000,445.2,6678.0,22000,368,24,336
18,16,16,1.000,427.8,6844.7,23363,349,26,317
19,16,16,1.000,498.0,7967.6,24773,486,31,458
20,13,13,1.000,554.4,7206.7,23779,393,31,367
21,10,10,1.000,694.0,6940.3,20242,474,14,460
22,15,15,1.000,447.5,6712.1,22370,346,53,319
23,13,13,1.000,616.7,8017.0,25410,472,34,447
24,11,11,1.000,604.7,6651.9,19464,453,13,433
25,15,15,1.000,506.6,7599.3,25337,405,36,369
26,16,16,1.000,402.0,6432.5,21463,337,40,303
27,15,15,1.000,387.5,5812.9,18930,326,22,301
28,12,12,1.000,608.3,7299.2,22156,465,25,444
29,10,10,1.000,764.4,7643.9,20680,577,16,555
30,12,12,1.000,650.4,7804.5,24182,485,18,465
31,11,11,1.000,642.1,7062.8,22214,428,18,404
32,12,12,1.000,648.7,7784.1,24161,458,74,416
33,11,11,1.000,649.0,7138.9,21205,476,14,454
34,11,11,1.000,580.4,6384.5,20472,372,18,354
35,15,15,1.000,458.3,6874.6,23213,361,22,331
36,16,16,1.000,430.0,6880.0,24800,302,36,270
37,15,15,1.000,484.4,7265.5,24128,392,30,360
38,14,14,1.000,572.9,8021.1,25061,483,39,449
39,14,14,1.000,533.6,7469.7,23489,444,36,416
40,10,10,1.000,814.4,8143.8,22969,582,21,557
41,15,15,1.000,517.2,7757.8,26314,402,27,374
42,14,14,1.000,626.1,8765.6,28533,498,24,469
43,10,10,1.000,793.8,7938.2,23866,522,12,499
44,14,14,1.000,520.5,7287.6,25378,353,33,320
45,16,16,1.000,468.0,7488.7,26069,362,35,328
46,13,13,1.000,566.8,7368.8,25019,375,38,350
47,12,12,1.000,601.2,7213.9,23144,422,19,394
48,10,10,1.000,680.1,6800.5,20433,444,18,420
49,12,12,1.000,588.4,7060.4,21762,439,24,417
50,15,15,1.000,495.4,7430.4,24797,399,27,365
51,12,12,1.000,566.3,6796.0,21300,414,17,391
52,14,14,1.000,574.3,8040.2,25301,485,25,452
53,11,11,1.000,664.4,7308.9,21020,510,15,488
54,16,16,1.000,414.7,6634.7,22514,337,35,310
55,13,13,1.000,627.8,8160.8,26039,485,16,454
56,10,10,1.000,725.9,7258.7,23448,413,30,394
57,11,11,1.000,779.6,8576.0,27840,441,122,415
58,10,10,1.000,726.3,7262.7,21393,490,16,466
59,15,15,1.000,515.6,7733.6,23288,503,18,477
