case,n_sources,n_cleared,clear_ratio,mean_time_s,virtual_time_s,travel_m,n_measure,n_clear,n_switch
0,11,11,1.000,624.4,6868.6,22478,380,30,361
1,14,14,1.000,456.9,6396.2,20726,359,31,335
2,13,13,1.000,466.4,6062.6,17983,399,24,373
3,10,10,1.000,691.7,6916.7,19913,478,21,461
4,16,16,1.000,391.0,6256.1,20771,337,25,310
5,15,15,1.000,442.0,6630.0,22625,331,37,309
6,16,16,1.000,392.2,6275.1,22855,264,38,238
7,12,12,1.000,605.7,7268.6,21328,478,43,460
8,10,10,1.000,663.5,6635.0,19715,435,26,419
9,11,11,1.000,615.8,6773.3,20066,453,15,428
10,15,15,1.000,417.8,6267.4,20472,352,21,320
11,15,15,1.000,427.7,6416.2,21441,337,34,311
12,15,15,1.000,424.9,6373.3,20477,360,38,334
13,10,10,1.000,656.3,6563.2,19491,436,15,420
14,11,11,1.000,642.4,7066.6,19838,506,22,481
15,15,15,1.000,388.9,5834.1,20345,276,33,256
16,15,15,1.000,451.4,6770.4,22877,352,26,327
17,16,16,1.000,391.9,6270.0,20765,333,39,303
18,13,13,1.000,480.8,6250.1,20170,347,43,326
19,10,10,1.000,667.6,6675.9,19819,438,27,421
20,10,10,1.000,649.8,6497.9,18534,457,15,441
21,13,13,1.000,519.4,6752.8,20179,441,23,417
22,12,12,1.000,506.1,6073.1,19150,365,16,346
23,10,10,1.000,656.3,6563.2,19306,443,15,422
24,11,11,1.000,624.0,6864.4,21237,416,39,398
25,11,11,1.000,724.0,7964.5,23032,552,16,528
26,11,11,1.000,600.8,6609.1,18136,487,21,462
27,11,11,1.000,607.9,6687.4,20492,409,42,396
28,12,12,1.000,536.4,6436.5,19563,400,41,377
29,10,10,1.000,692.4,6924.3,20461,463,19,440
