20 cases, seeds 30000..30019
 spacing   budget    ratio      min     time   travel    stops
    1100        0   0.9469   0.8462    402.0    15441      7.0
    1100        2   1.0000   1.0000    836.4    40066     24.8
    1100        4   1.0000   1.0000    836.4    40066     24.8
    1100        8   1.0000   1.0000    836.4    40066     24.8
    1100       40   1.0000   1.0000    836.4    40066     24.8

     900        0   0.9928   0.9231    532.3    22179     19.0
     900        2   0.9967   0.9333    844.1    39582     30.1
     900        4   0.9967   0.9333    844.1    39582     30.1
     900        8   0.9967   0.9333    844.1    39582     30.1
     900       40   0.9967   0.9333    844.1    39582     30.1

report -> data/cert_budget_curve.json
