config F (cert every stop, margin 900, pure sweep), 20 cases
 spacing   stops    ratio      min     time   travel  measure
     750    18.6   0.9677   0.8750    487.6    19241      346
     800    18.6   0.9717   0.8750    506.3    20331      356
     850    18.6   0.9701   0.8462    515.7    20673      356
     900    18.4   0.9928   0.9231    516.0    21640      352
     950    13.0   0.9782   0.8750    493.2    20601      314
    1000    13.0   0.9729   0.9000    495.2    20343      327
    1050     7.0   0.9561   0.8462    393.4    15353      274
    1100     7.0   0.9469   0.8462    401.6    15441      278
    1200     7.0   0.9463   0.8462    447.6    18360      284
report -> data/final_scan.json
