24 cases, seeds 30000..30023 ; sparse lattice + targeted certification stops
 spacing  budget   stops    ratio      min  fails     time   median
    1000       0    13.0   0.9706   0.8000      8    483.0    454.7
    1000       2    14.2   0.9706   0.8000      8    512.3    505.1
    1000       4    14.2   0.9706   0.8000      8    512.3    505.1
    1000       6    14.2   0.9706   0.8000      8    512.3    505.1
    1000      10    14.2   0.9706   0.8000      8    512.3    505.1
    1000      40    14.2   0.9706   0.8000      8    512.3    505.1
     950       0    13.0   0.9703   0.8000      7    472.6    450.0
     950       2    13.0   0.9703   0.8000      7    472.6    450.0
     950       4    13.0   0.9703   0.8000      7    472.6    450.0
     950       6    13.0   0.9703   0.8000      7    472.6    450.0
     950      10    13.0   0.9703   0.8000      7    472.6    450.0
     950      40    13.0   0.9703   0.8000      7    472.6    450.0
    1100       0     7.0   0.9381   0.8000     14    394.3    387.4
    1100       2     9.9   0.9419   0.8000     14    461.6    457.4
    1100       4     9.9   0.9419   0.8000     14    461.6    457.4
    1100       6     9.9   0.9419   0.8000     14    461.6    457.4
    1100      10     9.9   0.9419   0.8000     14    461.6    457.4
    1100      40     9.9   0.9419   0.8000     14    461.6    457.4

no (spacing, budget) combination is perfect on this pool
report -> data/hybrid_scan.json
